Base_ID,Base_Name,Region,State,Base_Type,Warehouse_No
B001,Alpha Logistics Base,North,Punjab,Logistics Depot,WH-01
B002,Bravo Supply Base,North,Haryana,Training Centre,WH-02
B003,Charlie Operations Base,West,Rajasthan,Army Camp,WH-03
B004,Delta Logistics Hub,West,Gujarat,Logistics Depot,WH-04
B005,Echo Support Base,Central,Madhya Pradesh,Army Camp,WH-05
B006,Falcon Transit Base,East,West Bengal,Logistics Depot,WH-06
B007,Guardian Base,South,Karnataka,Training Centre,WH-07
B008,Horizon Base,South,Tamil Nadu,Army Camp,WH-08
B009,Iron Shield Base,Central,Chhattisgarh,Logistics Depot,WH-09
B010,Jaguar Logistics Base,East,Odisha,Army Camp,WH-10
B011,Kilo Forward Base,North,Uttarakhand,Logistics Depot,WH-11
B012,Liberty Operations Base,West,Maharashtra,Training Centre,WH-12
B013,Mountain View Base,North,Himachal Pradesh,Army Camp,WH-13
B014,Nova Supply Base,South,Telangana,Logistics Depot,WH-14
B015,Orion Command Base,East,Assam,Training Centre,WH-15
