Equipment_ID,Equipment_Name,Category,Unit_Cost,Minimum_Stock
EQ001,Tactical Radio,Communication Equipment,45000,50
EQ002,Satellite Phone,Communication Equipment,85000,20
EQ003,Signal Antenna,Communication Equipment,25000,30
EQ004,Communication Headset,Communication Equipment,12000,100
EQ005,Portable Repeater,Communication Equipment,95000,10
EQ006,Handheld GPS,Communication Equipment,18000,40
EQ007,Network Switch,Communication Equipment,30000,20
EQ008,Rugged Tablet,Communication Equipment,65000,15
EQ009,Portable Power Bank,Communication Equipment,5000,80
EQ010,Signal Cable Kit,Communication Equipment,8000,120
EQ011, First Aid Kit,Medical Supplies,300,100
EQ012,Trauma Kit,Medical Supplies,12000,40
EQ013,Stretcher,Medical Supplies,18000,20
EQ014,Oxygen Cylinder,Medical Supplies,9000,30
EQ015,Medical Tent,Medical Supplies,150000,5
EQ016,Emergency Medicine Pack,Medical Supplies,5000,100
EQ017,Surgical Gloves Box,Medical Supplies,1200,200
EQ018,Blood Storage Box,Medical Supplies,45000,10
EQ019,Portable Defibrillator,Medical Supplies,95000,8
EQ020,Wheelchair,Medical Supplies,15000,15
EQ021,Transport Truck,Vehicles & Mobility,2500000,5
EQ022,Light Utility Jeep,Vehicles & Mobility,1200000,8
EQ023,Ambulance Vehicle,Vehicles & Mobility,1800000,3
EQ024,Fuel Bowser,Vehicles & Mobility,3500000,2
EQ025,Cargo Trailer,Vehicles & Mobility,850000,5
EQ026,All-Terrain Vehicle (ATV),Vehicles & Mobility,900000,4
EQ027,Field Motorcycle,Vehicles & Mobility,180000,10
EQ028,Recovery Vehicle,Vehicles & Mobility,4200000,2
EQ029,Mobile Workshop Van,Vehicles & Mobility,2200000,2
EQ030,Forklift,Vehicles & Mobility,950000,4
EQ031,Portable Generator,Engineering Equipment,85000,20
EQ032,Water Pump,Engineering Equipment,35000,15
EQ033,Welding Machine,Engineering Equipment,45000,10
EQ034,Tool Kit,Engineering Equipment,12000,50
EQ035,Air Compressor,Engineering Equipment,70000,8
EQ036,Portable Bridge Kit,Engineering Equipment,450000,2
EQ037,Chainsaw,Engineering Equipment,25000,8
EQ038,Hydraulic Jack,Engineering Equipment,15000,20
EQ039,Electric Drill,Engineering Equipment,8000,25
EQ040,Concrete Mixer,Engineering Equipment,180000,3
EQ041,Binoculars,Surveillance Equipment,12000,30
EQ042,Night Vision Goggles,Surveillance Equipment,150000,10
EQ043,Thermal Camera,Surveillance Equipment,250000,5
EQ044,Surveillance Drone,Surveillance Equipment,350000,8
EQ045,CCTV Camera,Surveillance Equipment,10000,40
EQ046,Motion Sensor,Surveillance Equipment,8000,50
EQ047,Laser Range Finder,Surveillance Equipment,45000,15
EQ048,Portable Radar Unit,Surveillance Equipment,650000,2
EQ049,Body Camera,Surveillance Equipment,18000,20
EQ050,Searchlight Camera,Surveillance Equipment,25000,10
EQ051,Combat Uniform,Clothing & Personal Gear,4500,300
EQ052,Combat Boots,Clothing & Personal Gear,3500,250
EQ053,Helmet,Clothing & Personal Gear,6500,150
EQ054,Protective Vest,Clothing & Personal Gear,25000,80
EQ055,Backpack,Clothing & Personal Gear,2800,150
EQ056,Sleeping Bag,Clothing & Personal Gear,6000,100
EQ057,Raincoat,Clothing & Personal Gear,2200,120
EQ058,Winter Jacket,Clothing & Personal Gear,5500,80
EQ059,Protective Gloves,Clothing & Personal Gear,1200,250
EQ060,Protective Goggles,Clothing & Personal Gear,1800,200
EQ061,Ration Pack,Food & Kitchen Supplies,500,1000
EQ062,Rice Sack,Food & Kitchen Supplies,2500,300
EQ063,Wheat Flour Sack,Food & Kitchen Supplies,2200,250
EQ064,Cooking Oil Can,Food & Kitchen Supplies,1800,200
EQ065,Drinking Water Container,Food & Kitchen Supplies,400,800
EQ066,Ready-to-Eat Meal Pack,Food & Kitchen Supplies,300,1000
EQ067,LPG Cylinder,Food & Kitchen Supplies,2200,50
EQ068,Cooking Stove,Food & Kitchen Supplies,8500,20
EQ069,Kitchen Utensil Set,Food & Kitchen Supplies,4500,30
EQ070,Water Storage Tank,Food & Kitchen Supplies,25000,10
EQ071,Diesel Barrel,Fuel & Energy,9000,150
EQ072,Petrol Barrel,Fuel & Energy,8500,100
EQ073,Aviation Fuel Drum,Fuel & Energy,15000,50
EQ074,Engine Oil Drum,Fuel & Energy,6500,80
EQ075,Lubricant Pack,Fuel & Energy,1800,150
EQ076,Solar Power Unit,Fuel & Energy,120000,10
EQ077,Battery Pack,Fuel & Energy,12000,60
EQ078,Portable Inverter,Fuel & Energy,18000,30
EQ079,Charging Station,Fuel & Energy,45000,8
EQ080,Extension Cable Reel,Fuel & Energy,3500,80
EQ081,Laptop,Electronics & IT,65000,50
EQ082,Desktop Computer,Electronics & IT,55000,30
EQ083,Printer,Electronics & IT,18000,15
EQ084,Barcode Scanner,Electronics & IT,12000,20
EQ085,GPS Device,Electronics & IT,25000,20
EQ086,External Hard Drive,Electronics & IT,8000,30
EQ087,Tablet,Electronics & IT,35000,25
EQ088,UPS System,Electronics & IT,12000,15
EQ089,Monitor,Electronics & IT,15000,20
EQ090,Wi-Fi Router,Electronics & IT,5000,30
EQ091,Field Tent,Field Support & Shelter,25000,30
EQ092,Folding Bed,Field Support & Shelter,4500,80
EQ093,Water Purifier,Field Support & Shelter,15000,20
EQ094,Portable Heater,Field Support & Shelter,12000,15
EQ095,Portable Fan,Field Support & Shelter,3500,40
EQ096,Fire Extinguisher,Field Support & Shelter,4500,50
EQ097,Rope Kit,Field Support & Shelter,1800,100
EQ098,Camping Chair,Field Support & Shelter,2200,60
EQ099,Emergency Lighting Kit,Field Support & Shelter,8500,25
EQ100,Multi-Purpose Shelter Kit,Field Support & Shelter,85000,5
